Application name,Source IP,Destination IP,Service
my_app,10.74.80.9,10.75.3.161,445
my_app,10.74.80.9,10.75.3.161,135
my_app,10.75.3.161,144.131.222.240,49163
my_app,10.75.3.161,10.172.101.118,8080
my_app,10.75.3.161,10.75.1.22,8089
my_app,10.75.3.161,144.136.12.138,49163
my_app,10.75.3.161,10.75.64.139,9997
my_app,10.75.3.161,144.136.12.138,49165
my_app,10.75.3.161,144.136.12.138,135
my_app,10.75.3.161,10.75.192.139,9997
my_app,10.75.3.161,10.75.64.139,9997
my_app,10.75.3.161,10.75.192.139,9997
my_app,10.74.80.9,10.75.3.161,49154
